thorax,longevity,sexually_active
short,40,No
short,37,No
short,44,No
short,47,No
short,47,No
short,47,No
short,68,No
short,47,No
long,54,No
long,61,No
long,71,No
long,75,No
long,89,No
long,58,No
long,59,No
long,62,No
long,79,No
long,96,No
long,58,No
long,62,No
long,70,No
long,72,No
long,75,No
long,96,No
long,75,No
short,16,Yes
short,19,Yes
short,19,Yes
short,32,Yes
short,33,Yes
short,33,Yes
short,30,Yes
short,42,Yes
short,42,Yes
short,33,Yes
short,26,Yes
short,30,Yes
long,40,Yes
long,54,Yes
long,34,Yes
long,34,Yes
long,47,Yes
long,47,Yes
long,42,Yes
long,47,Yes
long,54,Yes
long,54,Yes
long,56,Yes
long,60,Yes
long,44,Yes
